"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0,1,1,0,2,0,2,2,2,2,5,2,1,1,3,2,3,4
"106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,0,0,1,0,2,1,3,3,0,2,0,1,0,2,0,1,1,1,4,1,3,4,3
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,3,1,3,2,4,0,1,0,1,5,0,0,0,0,0,3,0
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3,1,2,2,1,2,2,4,0,1,2,1,1,1,1,5
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,1,1,1,0,0,1,1,0,2,0,2,2,2,2,5,2,1,1,3,2,3,4
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,3,0,2,0,1,0,2,2,1,0,0,0,0,2,1,5,0,1
"111",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,1,2,4,0,3,1,1,2,0,2,3,0,2,0,1,4,0,1,5
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,1,2,3,1,1,1,2,0,1,5,1,0,2,4,0,1
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,1,2,3,1,0,2,2,1,1,0,0,1,1,1,3,1,2,2
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,5,1,1,1,5,0,7,0,0,0,9,2,1,0,1
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,2,0,1,5,1,1,0,2,7,0,1,3,2,2,0,3
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,1,0,1,0,2,0,1,0,3,1,5,0,1,1,5,0,2,4,4,7,1
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,2,1,0,0,3,2,2,3,0,4,1,2,1,1,0,3,2,2
"118",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,2,0,1,1,2,1,3,0,0,1,0,0,0,0,2,2,1,2,1,2,1,1,3,2,7,0,1,0,3,0
"119",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,1,1,0,2,0,1,0,0,2,0,0,1,1,0,2,1,0,1,0,0,2,1,1
"120",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,1,2,3,0,0,1,0,1,1,1,1,2,6,0,2,0,3,0,2,0,4
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,2,0,1,1,0,1,1,3,1,2,1,1,0,4,1,2,2,1,3,0,2
"122",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,2,1,2,1,1,0,0,2,4,3,0,1,1,0,0,2,0,0,0,0
"123",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,2,1,1,3,2,1,1,1,2,1,0,0,0,2,3,0,2,4,1
