"","05-15","05-16","05-17","05-18","05-19","05-20","05-21","05-22","05-23","05-24","05-25","05-26","05-27","05-28","05-29","05-30","05-31","06-01","06-02","06-03","06-04","06-05","06-06","06-07","06-08","06-09","06-10","06-11","06-12","06-13","06-14","06-15","06-16","06-17","06-18","06-19","06-20","06-21","06-22","06-23","06-24","06-25","06-26","06-27","06-28","06-29"
"41",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"42",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"43",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"44",15.6,0,0,0,0,0,0,0,0,13,16.3,6.8,0,8.1,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,10,30.4,7.4,4,0,0,0,4,1.8,0.8,1.6,6.3,3,13.3,0,0,4.1,3,0
"45",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"46",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"47",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"48",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"49",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"50",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"51",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"52",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"53",1.9,4.3,0,16.8,0,3.1,12.3,7,2.3,2.3,31.5,18.8,2,6.5,3.2,0,4,0.6,0,2,0,3.9,0,0,0,6.7,8.5,18.8,0,2.9,1.1,0,0,0,26.3,0,0,0,0,0,0,2.8,0,0,0,0
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.1,0.3,0,16.3,20.3,3.7,0.6,0,0,3.9,0,3.8,4.5,1.3,6.9,0.9,0,0,0,7.3,8.1,0.9,0,4.1,0,13.3,7.7
