"","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000"
"82",0,0,0,0,0,0,0,0,1,0,1,3,1,3,1,2,3,2,6,3,2,6,1,2,1,3,2,8,3,2,2,5,5,1,10,3,7,3,8,7,9,8,5,5,6,20,3,8,5
"83",0,0,0,0,0,2,0,0,2,2,0,2,3,5,1,0,2,5,1,0,2,5,3,2,3,2,1,1,2,5,1,4,5,6,8,5,10,1,4,10,15,1,7,10,14,4,6,7,19
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,3,6,3,2,3,4,2,1,5,6,9,11,8,6,6,2,8,7,9,6,8,13,15,13,15,8,12,8,15,2,10
"85",0,0,2,0,2,0,1,0,0,1,5,1,0,1,3,2,0,3,5,3,1,0,0,1,7,2,0,3,3,2,6,5,4,7,2,3,15,6,4,7,7,9,8,8,7,15,9,18,9
"86",0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,1,3,3,1,0,3,6,4,5,3,5,5,3,2,1,7,3,13,14,5,6,6,7,7,10,11,15,10,8,9,14
"87",0,0,0,0,0,0,3,0,2,1,5,1,4,4,0,5,2,0,2,0,2,4,2,2,1,3,3,2,3,3,1,2,10,6,4,4,6,5,10,7,3,13,5,11,14,7,12,10,15
"88",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,2,3,1,1,0,6,3,6,9,7,5,3,2,2,2,6,9,2,7,8,6,3,13,5,8,5,9,12,10,13
"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,0,2,4,2,1,6,4,5,3,10,15,0,3,8,6,6,0,10,10,8,11,11,7,8,5,10,14
"90",0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,6,1,0,3,2,0,2,3,2,4,5,5,1,4,7,8,8,5,9,4,10,10,13,8,7,10,10,7,3,16,15,9,8,15
"91",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,2,3,1,1,0,6,3,6,9,7,5,3,2,2,2,6,9,2,7,8,6,3,13,5,8,5,9,12,10,13
"92",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,1,2,1,2,3,2,0,4,5,7,12,5,2,10,8,11,0,2,13,2,8,15,6,12,13,9,8,9,13
"93",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,4,4,0,1,6,5,2,2,4,13,6,5,8,4,8,4,5,3,8,5,12,6,6,15,15,12,15,5
