Year,Surveyor,Site.Code,Ownership,Territory.Age,Territory.Search.Time,Territory.Search.Effort,Number.of.Visits,Grid.Reference,Latitude,Longitude,County,Birds.Present,Age.of.Female,Age.of.Male,Nest.Built.Up.,Nest.Tree.Species,Nest.Height..m.,Eggs.laid.,Number.of.Eggs,Eggs.hatched.,Number.of.Eggs.Hatched,Young.chicks.fail.,Chicks.ringed.,Number.of.chicks.ringed,Fledged.,When.did.you.check.fledging.,Number.of.Chicks.Fledged,S.Petty.Breeding.Code,Dominant.Surrounding.Habitat,Reasons.for.Nest.Failure,Comments,S.Petty_F,Breeding.Success,Altitude
1995,A,,State,23,23,No,NA,NY621877,55.182127,-2.596705,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,279
1996,A,,State,24,24,No,NA,NY621876,55.181229,-2.5966915,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,No,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,287
1997,A,,State,25,25,No,NA,NY6096690267 ,55.205104,-2.614867,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,292
1998,A,,State,26,26,No,NA,NY6178189307,55.196542,-2.6019318,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,264
1999,A,,State,27,27,No,NA,NY6193187743 ,55.182501,-2.5993645,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation,NA,NA,7,1,293
2000,A,,State,28,28,No,NA,NY6186087765,55.182693,-2.6004824,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,302
2002,A,,State,30,30,No,NA,NY621877,55.182127,-2.596705,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,No,0,Yes,NA,1,7,Plantation,NA,NA,7,1,279
2003,A,,State,31,31,No,NA,NY621877,55.182127,-2.596705,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,279
2004,A,,State,32,32,No,NA,NY615874,55.179385,-2.6060856,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,303
2005,A,,State,33,33,No,NA,NY615874,55.179385,-2.6060856,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,303
2006,A,,State,34,34,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,288
2007,A,,State,35,35,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation,NA,NA,7,1,288
2008,A,,State,36,36,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,288
2009,A,,State,37,37,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,288
2010,A,,State,38,38,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,288
2011,A,,State,39,39,No,NA,NY620877,55.18212,-2.5982752,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,288
2012,A,,State,40,40,No,2,NY61488743,55.179653,-2.6064037,NBLD,BP,U,U,Yes,Larch,15,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,310
2013,A,,State,41,41,No,2,NY61488743,55.179653,-2.6064037,NBLD,BP,U,U,Yes,Larch,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,NA,3,0,310
2014,A,,State,42,42,No,3,NY61488743,55.179653,-2.6064037,NBLD,BP,U,U,Yes,Larch,15,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,310
2015,A,,State,43,43,No,2,NY61488743,55.179653,-2.6064037,NBLD,BP,U,U,Yes,Larch,15,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation,NA,NA,7,1,310
2016,A,,State,44,44,No,2,NY61488743,55.179653,-2.6064037,NBLD,BP,U,U,Yes,Larch,15,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,310
2017,A,,State,45,45,No,3,NY61528741,55.179477,-2.6057729,NBLD,BP,A,A,Yes,Larch,18,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,303
2018,A,,State,46,46,No,3,NY61528741,55.179477,-2.6057729,NBLD,BP,A,A,Yes,Larch,18,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation,NA,NA,7,1,303
2019,A,,State,47,47,No,NA,NY61528741,55.179477,-2.6057729,NBLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantation,NA,Site felled,NA,NA,303
2015,F,,Private,0,1,Yes,1,NY9592,55.222201,-2.080139,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,239
2016,F,,Private,0,2,Yes,1,NY9592,55.222201,-2.080139,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,239
2017,F,,Private,0,3,Yes,2,NY9592,55.222201,-2.080139,NBLD,BP,U,U,Yes,NA,NA,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,1,7,Plantation,NA,NA,7,1,239
2018,F,,Private,1,4,Yes,4,NY9592,55.222201,-2.080139,NBLD,BP,U,U,Yes,Larch,NA,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,1,7,Plantation,NA,NA,7,1,239
2019,F,,Private,2,5,Yes,1,NY9592,55.222201,-2.080139,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,Plantation felled,1,NA,239
2015,F,,Private,0,1,Yes,3,NZ0095,55.249185,-2.0015441,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,309
2016,F,,Private,0,2,Yes,3,NZ0095,55.249185,-2.0015441,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,NA,1,NA,309
2017,F,,Private,1,3,Yes,5,NZ0095,55.249185,-2.0015441,NBLD,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,309
2018,F,,Private,2,4,Yes,4,NZ0095,55.249185,-2.0015441,NBLD,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,309
2019,F,,Private,3,5,Yes,6,NZ0095,55.249185,-2.0015441,NBLD,SB,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,309
2018,A,,State,1,1,Yes,3,NY77407571,55.075327,-2.3554887,NBLD,BP,U,U,Yes,Sitka,21,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation and rough grassland,Plucked out by avian predator,NA,5,0,230
2019,A,,State,2,2,Yes,5,NY77407571,55.075327,-2.3554887,NBLD,BP,A,U,Yes,Sitka,21,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,230
2002,A,,State,1,1,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,278
2003,A,,State,2,2,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,278
2004,A,,State,3,3,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,278
2005,A,,State,4,4,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,Yes,4,Yes,At ringing,4,7,Plantation and rough grassland,NA,NA,7,1,278
2006,A,,State,5,5,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,278
2007,A,,State,6,6,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation and rough grassland,NA,NA,7,1,278
2009,A,,State,7,7,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation and rough grassland,NA,NA,7,1,278
2010,A,,State,8,8,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,1,Yes,1,No,Yes,1,Yes,At ringing,1,7,Plantation and rough grassland,NA,NA,7,1,278
2011,A,,State,9,9,Yes,NA,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,278
2012,A,,State,10,10,Yes,2,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,Sitka,12,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,278
2013,A,,State,11,11,Yes,2,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,Sitka,12,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,278
2014,A,,State,12,12,Yes,4,NY785716,55.038444,-2.3379498,NBLD,BP,U,U,Yes,Sitka,12,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,278
2012,A,,State,5,5,Yes,2,NY717887,55.191758,-2.4460575,NBLD,BP,U,U,Yes,Larch,25,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,Predated by an avian predator,On top of old buzzard nest,5,0,220
2013,A,,State,6,6,Yes,3,NY717887,55.191758,-2.4460575,NBLD,BP,U,U,Yes,Larch,25,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Plantation,Predated by an avian predator,On top of old buzzard nest,5,0,220
2014,A,,State,7,7,Yes,3,NY717887,55.191758,-2.4460575,NBLD,BP,U,U,Yes,Scots Pine,21,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,On top of old buzzard nest,3,0,220
2015,A,,State,8,8,Yes,3,NY717887,55.191758,-2.4460575,NBLD,BP,A,U,Yes,Larch,15,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,On top of old buzzard nest,3,0,220
2017,A,,State,9,9,Yes,2,NY717887,55.191758,-2.4460575,NBLD,SB,NA,1,Yes,Larch,15,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,On top of old buzzard nest,3,0,220
2018,A,,State,10,10,Yes,2,NY717887,55.191758,-2.4460575,NBLD,SB,NA,1,Yes,Larch,15,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation,NA,On top of old buzzard nest,3,0,220
2019,A,,State,11,11,Yes,2,NY717887,55.191758,-2.4460575,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Plantation,NA,Not occupied,1,NA,220
2000,G,,Private,1,1,Yes,2,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2001,G,,Private,2,2,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2002,G,,Private,3,3,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2003,G,,Private,4,4,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2004,G,,Private,5,5,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2005,G,,Private,6,6,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2006,G,,Private,7,7,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2007,G,,Private,8,8,Yes,NA,NU072233,55.503426,-1.8875722,NBLD,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Moorland and rough grassland,NA,NA,1,NA,107
2008,G,,Private,9,9,Yes,NA,NU077237,55.507012,-1.8796457,NBLD,BP,U,U,Yes,Scots Pine,10,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,1,7,Moorland and rough grassland,NA,NA,7,1,184
2009,G,,Private,10,10,Yes,4,NU077237,55.507012,-1.8796457,NBLD,BP,U,U,Yes,Scots Pine,10,Yes,3,Yes,3,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,184
2010,G,,Private,11,11,Yes,4,NU077237,55.507012,-1.8796457,NBLD,BP,U,U,Yes,Scots Pine,10,Yes,NA,Yes,3,No,No,0,Yes,NA,3,7,Moorland and rough grassland,NA,NA,7,1,184
2011,G,,Private,12,12,Yes,2,NU077237,55.507012,-1.8796457,NBLD,BP,U,U,Yes,Scots Pine,10,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,184
2012,G,,Private,13,13,Yes,3,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,5,Moorland and rough grassland,NA,Previous nest area (Hepburn 2) thinned,5,0,153
2013,G,,Private,14,14,Yes,5,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2014,G,,Private,15,15,Yes,4,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2015,G,,Private,16,16,Yes,5,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2016,G,,Private,17,17,Yes,3,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2017,G,,Private,18,18,Yes,5,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2018,G,,Private,19,19,Yes,4,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Moorland and rough grassland,NA,NA,7,1,153
2019,G,,Private,20,20,Yes,4,NU075232,55.502523,-1.8828255,NBLD,BP,U,U,Yes,Douglas Fir,23,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moorland and rough grassland,NA,NA,NA,NA,153
2011,A,,State,3,3,Yes,NA,NY742993,55.287142,-2.4077645,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,Yes,2,Yes,At ringing,2,7,Plantation and moorland,NA,NA,7,1,350
2012,A,,State,4,4,Yes,3,NY742993,55.287142,-2.4077645,NBLD,BP,U,U,Yes,Sitka,10,Yes,NA,Yes,NA,No,Yes,1,Yes,At ringing,1,7,Plantation and moorland,NA,NA,7,1,350
2013,A,,State,5,5,Yes,3,NY742993,55.287142,-2.4077645,NBLD,BP,U,U,Yes,Sitka,10,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and moorland,NA,NA,7,1,350
2014,A,,State,6,6,Yes,4,NY742993,55.287142,-2.4077645,NBLD,BP,U,U,Yes,Sitka,10,Yes,NA,Yes,NA,No,Yes,2,Yes,At ringing,2,7,Plantation and moorland,NA,NA,7,1,350
1991,A,,State,1,1,No,NA,NY623704,55.026693,-2.5912641,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,217
1992,A,,State,2,2,No,NA,NY623704,55.026693,-2.5912641,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,217
1993,A,,State,3,3,No,NA,NY623704,55.026693,-2.5912641,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,1,7,Plantation and rough grassland,NA,NA,7,1,217
1994,A,,State,4,4,No,NA,NY623704,55.026693,-2.5912641,CMBR,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation and rough grassland,NA,NA,2,0,217
1995,A,,State,5,5,No,NA,NY623704,55.026693,-2.5912641,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,217
1996,A,,State,6,6,No,NA,NY628704,55.026731,-2.5834432,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,225
1998,A,,State,8,8,No,NA,NY6231570521,55.027782,-2.5910454,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,214
1999,A,,State,9,9,No,NA,NY6234170495,55.02755,-2.5906353,CMBR,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,Yes,3,Yes,At ringing,3,7,Plantation and rough grassland,NA,NA,7,1,214
2000,A,,State,10,10,No,NA,NY6234170495,55.02755,-2.5906353,CMBR,SB,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,214
2002,A,,State,12,12,No,NA,NY6234170495,55.02755,-2.5906353,CMBR,BP,U,U,Yes,NA,NA,Yes,4,Yes,4,No,No,0,Yes,NA,4,7,Plantation and rough grassland,NA,NA,7,1,214
2003,A,,State,13,13,No,NA,NY626705,55.027614,-2.5865847,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,217
2004,A,,State,14,14,No,NA,NY626705,55.027614,-2.5865847,CMBR,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation and rough grassland,NA,NA,7,1,217
2005,A,,State,15,15,No,NA,NY626705,55.027614,-2.5865847,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,217
2006,A,,State,16,16,No,NA,NY626705,55.027614,-2.5865847,CMBR,BP,U,U,Yes,NA,NA,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,NA,NA,4,0,217
2007,A,,State,17,17,No,NA,NY593718,55.039036,-2.6383891,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,278
2008,A,,State,18,18,No,NA,NY624705,55.027599,-2.5897131,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,211
2009,A,,State,19,19,No,NA,NY613727,55.047283,-2.6072184,CMBR,BP,U,U,Yes,NA,NA,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,NA,NA,3,0,275
2010,A,,State,20,20,No,NA,NY611729,55.049064,-2.6103757,CMBR,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation and rough grassland,NA,NA,7,1,302
2012,A,,State,22,22,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,A,U,Yes,Sitka,21,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation and rough grassland,NA,Yes,7,1,303
2013,A,,State,23,23,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,U,U,Yes,Sitka,12,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation and rough grassland,NA,Yes,7,1,303
2014,A,,State,24,24,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,1,U,Yes,Sitka,24,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,3,7,Plantation and rough grassland,Buzzard nest nearby?,NA,7,1,303
2015,A,,State,25,25,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,U,U,Yes,Sitka,24,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,2,7,Plantation and rough grassland,Buzzard nest nearby?,NA,7,1,303
2016,A,,State,26,26,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,U,U,Yes,Sitka,24,No,0,NA,NA,NA,NA,NA,NA,NA,NA,3,Plantation and rough grassland,Buzzard nest nearby?,NA,3,0,303
2017,A,,State,27,27,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,1,U,Yes,Sitka,24,Yes,NA,No,0,NA,NA,NA,NA,NA,NA,4,Plantation and rough grassland,Buzzard nest nearby?,NA,4,0,303
2018,A,,State,28,28,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,U,U,Yes,Sitka,24,Yes,NA,Yes,NA,No,No,0,Yes,Specific check for fledging,1,7,Plantation and rough grassland,Buzzard nest nearby?,NA,7,1,303
2019,A,,State,29,29,No,2,NY61327308,55.050699,-2.6069571,CMBR,BP,U,U,Yes,Sitka,18,Yes,NA,Yes,NA,No,No,NA,Yes,Specific check for fledging,1,7,Plantation and rough grassland,NA,Old nest built up,7,1,303
1981,A,,State,1,1,No,NA,NT771001,55.294474,-2.3621709,NBLD,BP,U,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Plantation,NA,NA,2,0,239
1982,A,,State,2,2,No,NA,NT771001,55.294474,-2.3621709,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,239
1983,A,,State,3,3,No,NA,NT771001,55.294474,-2.3621709,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,239
1984,A,,State,4,4,No,NA,NY781986,55.281042,-2.3463059,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,318
1985,A,,State,5,5,No,NA,NY781986,55.281042,-2.3463059,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,318
1986,A,,State,6,6,No,NA,NY782989,55.283742,-2.3447551,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,301
1987,A,,State,7,7,No,NA,NT772001,55.294479,-2.3605961,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,244
1988,A,,State,8,8,No,NA,NT772001,55.294479,-2.3605961,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,244
1989,A,,State,9,9,No,NA,NT772001,55.294479,-2.3605961,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,244
1990,A,,State,10,10,No,NA,NT761008,55.300717,-2.3779781,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,338
1991,A,,State,11,11,No,NA,NT761008,55.300717,-2.3779781,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,338
1992,A,,State,12,12,No,NA,NT761008,55.300717,-2.3779781,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,338
1993,A,,State,13,13,No,NA,NT761008,55.300717,-2.3779781,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,338
1994,A,,State,14,14,No,NA,NT761008,55.300717,-2.3779781,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,NA,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,338
1995,A,,State,15,15,No,NA,NT760008,55.300712,-2.3795531,NBLD,BP,U,U,Yes,NA,NA,Yes,4,Yes,NA,No,No,0,Yes,NA,3,7,Plantation,NA,NA,7,1,348
1996,A,,State,16,16,No,NA,NT760009,55.30161,-2.3795617,NBLD,BP,U,U,Yes,NA,NA,Yes,2,Yes,2,No,No,0,Yes,NA,2,7,Plantation,NA,NA,7,1,352
1997,A,,State,17,17,No,NA,NT7578501089,55.303298,-2.3829644,NBLD,BP,U,U,Yes,NA,NA,Yes,1,No,0,NA,NA,NA,NA,NA,NA,4,Plantation,NA,NA,4,0,404
1998,A,,State,18,18,No,NA,NT7584901008,55.302573,-2.3819493,NBLD,BP,U,U,Yes,NA,NA,Yes,3,Yes,3,No,No,0,No,NA,0,6,Plantation,NA,NA,6,0,383
